Device,Time,PH,ORP,Salinity,Temperature,Flow status
Device 06,2024-01-18 05:18:58,7.3,784,3683,17,1
Device 06,2024-01-18 04:03:36,7.4,774,3911,17,1
Device 06,2024-01-18 04:04:37,7.4,775,3689,22,1
Device 06,2024-01-18 04:31:19,7.3,783,3683,26,1
Device 06,2024-01-18 05:01:20,7.3,783,3681,26,1
Device 06,2024-01-18 05:31:20,7.3,784,3672,26,1
Device 06,2024-01-18 06:01:20,7.3,784,3684,25,1
Device 06,2024-01-18 10:44:39,7.3,760,3658,23,1
Device 06,2024-01-18 10:53:42,7.3,744,3637,26,1
Device 06,2024-01-18 11:01:21,7.45,736,3671,26,1
Device 06,2024-01-18 11:31:21,7.3,713,3649,26,1
Device 06,2024-01-18 11:31:53,7.3,712,3642,27,1
Device 06,2024-01-18 12:01:21,7.3,701,3632,27,1
Device 06,2024-01-18 12:31:22,7.2,695,3654,27,1
Device 06,2024-01-18 13:31:22,7.3,686,3650,27,1
Device 06,2024-01-18 13:50:40,7.3,683,3637,28,1
Device 06,2024-01-18 14:01:22,7.3,683,3659,28,1
Device 06,2024-01-18 15:31:22,7.3,681,3670,29,1
Device 06,2024-01-18 16:01:22,7.46,681,3696,29,1
Device 06,2024-01-18 16:01:23,7.3,681,3650,29,1
Device 06,2024-01-18 17:01:23,7.3,681,3670,29,1
Device 06,2024-01-18 18:01:23,7.46,681,3713,29,1
Device 06,2024-01-19 04:03:30,7.3,727,3738,17,1
Device 06,2024-01-19 04:31:26,7.46,739,3724,26,1
Device 06,2024-01-19 04:31:26,7.3,739,3692,26,1
Device 06,2024-01-19 05:01:26,7.48,742,3729,26,1
Device 06,2024-01-19 06:01:26,7.48,743,3732,26,1
Device 06,2024-01-19 06:01:26,7.3,743,3696,26,1
Device 06,2024-01-18 11:01:21,7.2,736,3635,24,1
Device 06,2024-01-18 11:10:47,7.2,728,3652,26,1
Device 06,2024-01-18 12:17:10,7.3,696,3661,26,1
Device 06,2024-01-18 13:01:22,7.3,688,3634,27,1
Device 06,2024-01-18 13:31:21,7.46,686,3682,28,1
Device 06,2024-01-18 14:31:22,7.47,681,3679,28,1
Device 06,2024-01-18 14:31:22,7.3,681,3668,29,1
Device 06,2024-01-18 15:01:22,7.47,681,3687,29,1
Device 06,2024-01-18 15:01:22,7.3,681,3655,29,1
Device 06,2024-01-18 16:31:23,7.3,681,3661,29,1
Device 06,2024-01-18 17:31:15,7.3,681,3670,29,1
Device 06,2024-01-18 17:31:19,7.3,681,3670,29,1
Device 06,2024-01-18 17:31:20,7.3,681,3670,29,1
Device 06,2024-01-18 17:31:23,7.3,681,3682,29,1
Device 06,2024-01-18 18:01:23,7.3,681,3683,29,1
Device 06,2024-01-19 05:01:26,7.3,742,3694,17,1
Device 06,2024-01-19 05:21:02,7.3,742,3711,26,1
Device 06,2024-01-19 05:31:26,7.48,743,3739,26,1
Device 06,2024-01-19 05:31:26,7.3,743,3692,26,1
Device 06,2024-01-19 06:05:14,7.3,743,3691,26,1
Device 06,2024-01-19 16:03:59,7.2,639,3657,33,1
Device 06,2024-01-19 16:05:00,7.2,703,3660,31,1
Device 06,2024-01-19 16:31:29,7.2,724,3655,31,1
Device 06,2024-01-19 16:52:20,7.2,705,3665,31,1
Device 06,2024-01-19 17:01:30,7.2,698,3674,31,1
Device 06,2024-01-19 17:31:30,7.43,682,3717,31,1
Device 06,2024-01-19 17:51:40,7.2,673,3677,31,1
Device 06,2024-01-20 05:01:23,7.2,666,3704,19,1
Device 06,2024-01-20 05:27:30,7.2,650,3703,28,1
Device 06,2024-01-19 16:07:01,7.2,721,3657,32,1
Device 06,2024-01-19 16:31:29,7.42,724,3690,31,1
Device 06,2024-01-19 17:01:29,7.42,698,3699,31,1
Device 06,2024-01-19 17:15:28,7.2,689,3676,31,1
Device 06,2024-01-19 17:31:30,7.2,682,3685,31,1
Device 06,2024-01-19 18:01:30,7.42,669,3705,31,1
Device 06,2024-01-19 18:01:30,7.2,669,3673,30,1
Device 06,2024-01-20 04:03:04,7.2,681,3776,19,1
Device 06,2024-01-20 04:07:06,7.2,698,3691,27,1
Device 06,2024-01-20 04:31:32,7.41,692,3729,28,1
Device 06,2024-01-20 04:42:16,7.2,682,3702,28,1
Device 06,2024-01-20 05:01:32,7.2,666,3700,28,1
Device 06,2024-01-20 05:31:32,7.2,648,3695,28,1
Device 06,2024-01-20 06:01:33,7.2,637,3709,27,1
Device 06,2024-01-20 16:31:35,7.4,655,3722,30,1
Device 06,2024-01-20 17:01:35,7.4,648,3708,30,1
Device 06,2024-01-20 17:18:14,7.2,646,3693,30,1
Device 06,2024-01-20 17:38:23,7.2,642,3686,30,1
Device 06,2024-01-20 18:01:36,7.2,641,3712,30,1
Device 06,2024-01-21 04:02:51,7.3,726,3788,23,1
