Dispositivo,Total activo (h),Numero de ciclos,Dias activos,Media diaria (h)
Device 01,1607.09,296,148,10.86
Device 02,177.74,57,20,8.89
Device 03,1175.57,305,165,7.12
Device 04,1189.59,337,183,6.5
Device 05,1679.09,289,101,16.62
Device 06,796.18,545,181,4.4
Device 07,1801.55,296,183,9.84
Device08,1801.55,296,183,9.84
Device09,177.74,57,20,8.89
Device10,1289.92,338,143,9.02
