deviceSerialNumber,phTarget,orpTarget,salinitytarget,cellOutput,poolSize
Device01,7.4,645,25,100,50000
Device02,7.5,680,25,100,49000
Device03,7.4,590,25,100,30000
Device04,7.4,630,25,100,25000
Device05,7.6,630,25,100,38000
Device06,7.6,645,25,90,50000
Device07,7.5,650,25,100,30000
Device08,7.1,520,25,100,25000
Device09,7.4,650,25,100,110000
Device10,7.4,650,25,100,110000
